,Name,Age,Total Pull Requests,Total Releases,Updated,Primary Language,Closed Issues,Total Issues
0,freeCodeCamp/freeCodeCamp,2629,16802,0,28.0,JavaScript,15698,15828
1,996icu/996.ICU,1076,1063,0,5.0,None,0,0
2,EbookFoundation/free-programming-books,3068,4320,0,2.0,None,670,695
3,jwasham/coding-interview-university,2099,284,0,2.0,None,288,325
4,vuejs/vue,3142,1071,210,75.0,JavaScript,9363,9690
5,sindresorhus/awesome,2795,568,0,6.0,None,280,301
6,kamranahmedse/developer-roadmap,1817,219,0,5.0,TypeScript,485,582
7,facebook/react,3208,8131,96,16.0,JavaScript,10456,11180
8,public-apis/public-apis,2177,1859,0,3.0,Python,359,362
9,donnemartin/system-design-primer,1834,190,0,4.0,Python,63,210
10,tensorflow/tensorflow,2311,14212,158,40.0,C++,31841,34183
11,twbs/bootstrap,3873,7454,76,110.0,JavaScript,20792,21105
12,getify/You-Dont-Know-JS,3032,351,0,93.0,None,806,891
13,CyC2018/CS-Notes,1482,375,0,71.0,None,436,539
14,ohmyzsh/ohmyzsh,4573,2652,0,11.0,Shell,3923,4099
15,flutter/flutter,2557,23826,0,50.0,Dart,55380,65706
16,trekhleb/javascript-algorithms,1443,266,0,19.0,JavaScript,185,281
17,danistefanovic/build-your-own-x,1397,86,0,3.0,None,326,468
18,TheAlgorithms/Python,2059,1811,0,7.0,Python,914,946
19,github/gitignore,4136,1520,0,2.0,None,0,0
20,microsoft/vscode,2376,8281,61,10.0,TypeScript,124029,129585
21,torvalds/linux,3836,9,0,68.0,C,0,0
22,airbnb/javascript,3412,777,0,5.0,JavaScript,1065,1153
23,vinta/awesome-python,2809,526,0,9.0,Python,275,289
24,Snailclimb/JavaGuide,1399,622,0,71.0,Java,682,747
25,jackfrued/Python-100-Days,1466,12,0,106.0,Python,93,543
26,ossu/computer-science,2863,206,0,37.0,None,551,557
27,ytdl-org/youtube-dl,4144,1557,341,13.0,Python,20748,24753
28,labuladong/fucking-algorithm,746,203,1,14.0,Markdown,251,288
29,jlevy/the-art-of-command-line,2482,303,0,32.0,None,88,196
30,facebook/react-native,2613,627,186,82.0,JavaScript,20572,22428
31,electron/electron,3250,14133,910,23.0,C++,15076,16591
32,d3/d3,4178,438,177,36.0,JavaScript,2099,2102
33,golang/go,2756,0,0,71.0,Go,41452,48843
34,facebook/create-react-app,2058,1916,82,74.0,JavaScript,6342,7551
35,30-seconds/30-seconds-of-code,1558,752,4,41.0,JavaScript,277,277
36,axios/axios,2757,463,34,110.0,JavaScript,3269,3496
37,justjavac/free-programming-books-zh_CN,3044,269,3,0.0,None,0,0
38,kubernetes/kubernetes,2830,50773,518,53.0,Go,38741,40354
39,nodejs/node,2657,3813,276,54.0,JavaScript,12949,14275
40,vercel/next.js,1978,8457,1366,52.0,JavaScript,11191,12081
41,microsoft/terminal,1668,2519,67,1.0,C++,8173,9583
42,denoland/deno,1391,6083,165,13.0,Rust,4865,5614
43,angular/angular,2726,3050,145,56.0,TypeScript,22123,23662
44,mrdoob/three.js,4366,9493,130,74.0,JavaScript,10636,10975
45,awesome-selfhosted/awesome-selfhosted,2470,1723,0,9.0,JavaScript,557,663
46,microsoft/TypeScript,2819,11544,152,0.0,TypeScript,27827,32986
47,ant-design/ant-design,2508,8088,449,120.0,TypeScript,22442,23200
48,puppeteer/puppeteer,1762,2227,85,110.0,TypeScript,3434,5236
49,avelino/awesome-go,2800,2641,0,4.0,Go,375,380
50,mui/material-ui,2757,12848,344,5.0,JavaScript,14191,15098
51,goldbergyoni/nodebestpractices,1633,717,0,39.0,JavaScript,262,291
52,PanJiaChen/vue-element-admin,1784,313,49,6.0,Vue,2292,3348
53,animate-css/animate.css,3798,306,22,90.0,CSS,795,810
54,iluwatar/java-design-patterns,2766,842,0,81.0,Java,474,694
55,tensorflow/models,2221,2214,21,40.0,Python,5667,6798
56,microsoft/PowerToys,1040,3057,56,32.0,C#,11040,13339
57,MisterBooo/LeetCodeAnimation,1186,63,0,32.0,Java,42,54
58,storybookjs/storybook,2179,6302,971,2.0,TypeScript,7160,8758
59,laravel/laravel,3924,1404,99,185.0,PHP,0,0
60,FortAwesome/Font-Awesome,3670,187,44,98.0,JavaScript,12292,18023
61,nvbn/thefuck,2524,466,17,119.0,Python,434,628
62,yangshun/tech-interview-handbook,2070,168,0,5.0,JavaScript,38,46
63,ryanmcdermott/clean-code-javascript,1927,146,0,5.0,JavaScript,78,118
64,gothinkster/realworld,2200,218,0,4.0,Shell,439,488
65,vuejs/awesome-vue,2329,3273,0,154.0,None,179,204
